image_name,date,street,block,parcel,text_en,text_es,ad_product,ad_company,business_name,establishment_kind,open_space_kind,street_art,notes,notes2
street_views_000408,2019-04-01,"W Slauson Ave, South",1700,19476,"sunny market comic and cards, davids lock and key, choice sound, alarm tv car stereo, amina 2, apparel and accessories, open nails, european pedicure spa, back massage, air brushfree on new set, tattoos, body piercing, alarm, tv, stereo, happy sound, best of best, angies beauty supply, free money, for downpayment to buy a house",,,,"angies beauty supply, happy sound, tattoos, sunny market, david lock and key, queen nails,  amina 2, choice sound","comic store, electronics store, nail salon, locksmith, tattoo shop, beauty supply",parking lot,,,
street_views_000409,2019-04-01,"W Slauson Ave, North",1700,9451,,,,,,,,,RR,
street_views_000410,2019-04-01,"W Slauson Ave, North",1500,9450,,,,,,,,,RR,
street_views_000410,2019-04-01,"W Slauson Ave, South",1500,9142,"mind lab studios, recording, mixing, mastering, photography, film, green dog and cat hospital, free puppy deworming with vaccination package available every day bathing and boarding available",,,,green dog and cat hospital,animal hospital,,,,
street_views_000412,2019-04-01,"W Slauson Ave, South",1500,9142,california metal processing co,,,,california metal processing co,welding,parking lot,,,
street_views_000413,2019-04-01,"W Slauson Ave, South",1500,9142,,,,,,commercial,,,,
street_views_000414,2019-04-01,"W Slauson Ave, North",1500,9450,,,,,,,,,RR,
street_views_000415,2019-04-01,"W Slauson Ave, South",1500,9142,"wholesale window guards and supplies office, ornamental iron works, artistic fundamentals, welding, custom designs, all types, repairs, ",,,,"wholesale window guards and supplies office, artistic fundamentals welding, ","welding, furniture",parking lot,,,
street_views_000416,2019-04-01,"W Slauson Ave, South",1400,9141,,,,,,commercial,,,,
street_views_000417,2019-04-01,"W Slauson Ave, South",1400,9141,,,,,,commercial,,,,
street_views_000418,2019-04-01,"W Slauson Ave, South",1400,9141,"abiding love christian fellowship, kitchen cabinets, lemus, design, ",,,,"abiding love christian fellowship, kitchen cabinets","furniture store, church",,handpainted signs,,
street_views_000419,2019-04-01,"W Slauson Ave, North",1400,9450,,,,,,,,,RR,
street_views_000420,2019-04-01,"W Slauson Ave, South",1400,9141,"headliner and carpets, seat, hoards muffler, catalytic converters, lees sheepskin car seat cover, headliner carpet, ",,LA Galaxy,,"lees sheepskin, hoards muffler",automotive services,parking lot,handpainted signs,,
street_views_000421,2019-04-01,"W Slauson Ave, North",1300,9452,"for lease, units from 500 sq ft to 4000 sq ft",,,,,,,,construction,
street_views_000422,2019-04-01,"W Slauson Ave, South",1300,9140,,,,,,commercial,,,,
street_views_000423,2019-04-01,"W Slauson Ave, South",1300,9140,we buy ugly houses,,real estate,webuyuglyhouses.com,,,parking lot,,junk yard,
street_views_000424,2019-04-01,"W Slauson Ave, North",1300,9452,,,,,,,,,,
street_views_000425,2019-04-01,"W Slauson Ave, North",1200,9452,server nena ish,,,,,,,grafitti ,,
street_views_000426,2019-04-01,"W Slauson Ave, South",1200,9138,,,,,,residential,,,,
street_views_000427,2019-04-01,"W Slauson Ave, South",1200,9138,"m and z smog check, as auto repair, mufflers and catalytics",,,,as auto repair,automotive services,parking lot,handpainted signs,,
street_views_000428,2019-04-01,"W Slauson Ave, South",1200,9139,rapid anodizing,,,,rapid anodizing,automotive services,parking lot ,handpainted signs,,
street_views_000429,2019-04-01,"W Slauson Ave, South",1200,9139,iaintfromnowhere,,gang prevention,iaintfrom nowhere,slauson auto restoration,automotive services,parking lot,handpainted signs,,
street_views_000430,2019-04-01,"W Slauson Ave, North",1200,9452,"windows waterproofing, crispy",,,,allied building products,,,grafitti,RR,
street_views_000431,2019-04-01,"W Slauson Ave, South",1100,9138,"arch, windows, shower, doors, closet, patio, doors, fast windows and more inc, fax, ",,,,fast windows and more inc,window store,,handpainted signs,,
street_views_000432,2019-04-01,"W Slauson Ave, South",1100,9138,vermont slauson economic development corporation,,,,vermont slauson economic development corporation,economic development,,,,
street_views_000433,2019-04-01,"W Slauson Ave, North",1100,9143,,,,,,,,,RR,
street_views_000434,2019-04-01,"W Slauson Ave, South",1100,9138,,,,,vermont slauson economic development corporation,economic development,parking lot,,,
street_views_000435,2019-04-01,"W Slauson Ave, South",1100,9138,el super,,,,el super,grocery store,,,,
street_views_000436,2019-04-01,"W Slauson Ave, South",1000,9138,el super,,,,el super,grocery store,parking lot,,,
street_views_000437,2019-04-01,"W Slauson Ave, North",1000,9143,"sorry guns alcohol drugs and aids, give no life refunds, awareness",,,,,,,,RR,
street_views_000438,2019-04-01,"W Slauson Ave, North",1000,8469,taco bell,,,,taco bell,fast food,parking lot,,RR,
street_views_000439,2019-04-01,"W Slauson Ave, South",1000,7908,"jack in the box, yoshinoya, open 24 hours, ",,,,"jack in the box, yoshinoya",fast food,parking lot,,,
street_views_000440,2019-04-01,"W Slauson Ave, South",900,7966,"mcdonalds, drive thru, ",,,,mcdonalds,fast food,parking lot,,,
street_views_000441,2019-04-01,"W Slauson Ave, North",900,9463,el pollo loco,,,,el pollo loco,fast food,parking lot,,RR,
street_views_000442,2019-04-01,"W Slauson Ave, South",900,7966,"dds discounts, ross dress for less, cvs pharmacy, superior grocers,  wss shoes style selection, liquor photo center",,,,"cvs pharmacy, dds discounts, ross dress for less, superior grocers, wss","shoe store, pharmacy, clothing store, discount store, grocery store",parking lot,,,
street_views_000443,2019-04-01,"W Slauson Ave, North",900,9463,"furniture, sale","somos fabricantes, casa sorrento",,,furniture,furniture store,,handpainted signs,RR,
street_views_000444,2019-04-01,"W Slauson Ave, South",900,13269,,,,,augustus hawkins high school,school,parking lot,,,
street_views_000445,2019-04-01,"W Slauson Ave, North",800,9463,,,,,,,,,RR,
